fiscal_year,fund,department,tag_peoples_budget,class,total
2022,General Fund,Art Museum,Arts & Culture,"Contrib., Indemnities & Taxes",2040000
2022,General Fund,Auditing (City Controller),Government Operations,Personal Services,9330839
2022,General Fund,Auditing (City Controller),Government Operations,Purchase of Services,497450
2022,General Fund,Auditing (City Controller),Government Operations,"Materials, Supplies & Equip.",25000
2022,General Fund,Board of Ethics,Government Operations,Personal Services,915196
2022,General Fund,Board of Ethics,Government Operations,Purchase of Services,52500
2022,General Fund,Board of Ethics,Government Operations,"Materials, Supplies & Equip.",7500
2022,General Fund,Board of Revision of Taxes,Government Operations,Personal Services,997835
2022,General Fund,Board of Revision of Taxes,Government Operations,Purchase of Services,37900
2022,General Fund,Board of Revision of Taxes,Government Operations,"Materials, Supplies & Equip.",17727
2022,General Fund,City Commissioners,Government Operations,Personal Services,8413534
2022,General Fund,City Commissioners,Government Operations,Purchase of Services,6862101
2022,General Fund,City Commissioners,Government Operations,"Materials, Supplies & Equip.",2771217
2022,General Fund,City Commissioners,Government Operations,"Contrib., Indemnities & Taxes",0
2022,General Fund,City Council,Government Operations,Personal Services,15627138
2022,General Fund,City Council,Government Operations,Purchase of Services,2521885
2022,General Fund,City Council,Government Operations,"Materials, Supplies & Equip.",528650
2022,General Fund,City Council,Government Operations,"Contrib., Indemnities & Taxes",100
2022,General Fund,City Council,Government Operations,Payments to Other Funds,100
2022,General Fund,City Council,Government Operations,Advances and Other Misc. Payments,100
2022,General Fund,City Representative,Government Operations,Personal Services,0
2022,General Fund,City Representative,Government Operations,Purchase of Services,0
2022,General Fund,City Representative,Government Operations,"Materials, Supplies & Equip.",0
2022,General Fund,City Treasurer,Government Operations,Personal Services,1395075
2022,General Fund,City Treasurer,Government Operations,Purchase of Services,3323698
2022,General Fund,City Treasurer,Government Operations,"Materials, Supplies & Equip.",22224
2022,General Fund,Civil Service Commission,Government Operations,Personal Services,177148
2022,General Fund,Civil Service Commission,Government Operations,Purchase of Services,29500
2022,General Fund,Civil Service Commission,Government Operations,"Materials, Supplies & Equip.",1094
2022,General Fund,Civil Service Commission,Government Operations,Advances and Other Misc. Payments,25000000
2022,General Fund,Commerce,Commercial Corridors & Small Businesses,Personal Services,3614341
2022,General Fund,Commerce,Commercial Corridors & Small Businesses,Purchase of Services,10499099
2022,General Fund,Commerce,Commercial Corridors & Small Businesses,"Materials, Supplies & Equip.",26654
2022,General Fund,Commerce,Commercial Corridors & Small Businesses,"Contrib., Indemnities & Taxes",500000
2022,General Fund,Commerce - Convention Center Subsidy,Government Operations,Purchase of Services,15000000
2022,General Fund,Commerce - Economic Stimulus,Government Operations,Purchase of Services,6015000
2022,General Fund,District Attorney,Courts & the Justice System,Personal Services,36562904
2022,General Fund,District Attorney,Courts & the Justice System,Purchase of Services,3343738
2022,General Fund,District Attorney,Courts & the Justice System,"Materials, Supplies & Equip.",525017
2022,General Fund,District Attorney,Courts & the Justice System,"Contrib., Indemnities & Taxes",0
2022,General Fund,Finance,Government Operations,Personal Services,10185891
2022,General Fund,Finance,Government Operations,Purchase of Services,3475113
2022,General Fund,Finance,Government Operations,"Materials, Supplies & Equip.",35616
2022,General Fund,Finance,Government Operations,"Contrib., Indemnities & Taxes",16069700
2022,General Fund,Finance,Government Operations,Payments to Other Funds,11360000
2022,General Fund,Finance,Government Operations,Advances and Other Misc. Payments,75000000
2022,General Fund,Finance - Budget Stabilization,Government Operations,Payments to Other Funds,0
2022,General Fund,Finance - Community College Subsidy,Government Operations,"Contrib., Indemnities & Taxes",48128075
2022,General Fund,Finance - Employee Benefits,Government Operations,Pers. Svcs.-Emp.Benefits,1438592740
2022,General Fund,Finance - Hero Scholarship Awards,Government Operations,"Contrib., Indemnities & Taxes",25000
2022,General Fund,Finance - Indemnities,Government Operations,"Contrib., Indemnities & Taxes",49246000
2022,General Fund,Finance - Reg #32,Government Operations,Personal Services,2293165
2022,General Fund,Finance - Refunds,Government Operations,"Contrib., Indemnities & Taxes",250000
2022,General Fund,Finance - School District Contribution,Government Operations,"Contrib., Indemnities & Taxes",255953201
2022,General Fund,Finance - Witness Fees,Government Operations,Purchase of Services,171518
2022,General Fund,Fire,Emergency Services,Personal Services,332992022
2022,General Fund,Fire,Emergency Services,Purchase of Services,6728143
2022,General Fund,Fire,Emergency Services,"Materials, Supplies & Equip.",11275064
2022,General Fund,Fire,Emergency Services,"Contrib., Indemnities & Taxes",0
2022,General Fund,Fire,Emergency Services,Payments to Other Funds,10071000
2022,General Fund,First Judicial District,Courts & the Justice System,Personal Services,105324122
2022,General Fund,First Judicial District,Courts & the Justice System,Purchase of Services,8643039
2022,General Fund,First Judicial District,Courts & the Justice System,"Materials, Supplies & Equip.",2231868
2022,General Fund,First Judicial District,Courts & the Justice System,"Contrib., Indemnities & Taxes",0
2022,General Fund,Fleet Management,Government Operations,Personal Services,19260680
2022,General Fund,Fleet Management,Government Operations,Purchase of Services,5401396
